"","cl1","cl2","cl3","cl4"
"ADAMDEC1",0.0161259326915502,0.0096976190929113,-0.0343131902333057,-0.00818655479359576
"ADAMTS1",0.0192476759690224,0.0108661548157194,-0.00338580415132837,-0.00816240599220748
"ADAMTS12",0.00767092168891755,0.00999693407959047,0.00809232092832277,-0.00773022547286039
"ADAMTS13",0.000961983394041751,-0.00281364076463399,0.00539406700278766,0.00178481795355936
"ADAMTS2",0.014700780137378,0.00480215964671073,0.018292385728204,-0.00450682025601598
"ADAMTS20",7.47736791476819e-05,0.0035582433143276,0.00044448205981073,0.00247711423176825
"ADAMTS6",0.000453295091428127,0.00769601915579212,0.0138792738934859,0.00341083499612559
"ADAMTS7",-0.00137033592761249,-0.0005487575948478,-0.00200202640635507,0.00956246529228446
"ADAMTS9",0.00724544913352541,0.00437513897533277,-0.000887386636814893,0.00215775228594035
"ADAMTSL4",0.00303471696642527,0.00123150938469546,0.00654753934838354,0.00380219533835362
"ADAP1///COX19",-0.00344307687299497,-0.00189530977295201,0.00410857586896642,0.00294084602998283
"ADAP2",0.0107725762071456,0.00134210742029053,0.00477384713953879,0.00259026269629434
"ADAR",0.00473248432674381,-0.00459306723753681,0.00461218356312051,0.000806527476924677
"ADARB1",0.00791815068947875,-0.00258011660253823,0.00516410982708731,0.00131285082283225
"ADARB2",-0.0011495437353597,0.00210031929258086,0.00342738148503707,0.00580586363729046
"ADCK2",-0.00473421728647635,0.000938035963331736,-0.00289060504144935,-0.00644167735876693
"ADCK3",-0.00818577093975258,0.00184738779297755,-0.00357959238572125,-0.000877697111265704
"ADCY1",-4.96140607554839e-05,0.00495180949552962,0.00467625391031903,0.00149500611225334
"ADCY10",-0.00115681305746125,0.00150838431253612,0.00146609042682058,0.00316267221456798
"ADCY2",0.000470846201472201,0.00429047712514554,0.00107315714134698,0.00214240720420888
"ADCY3",-0.00656185368797486,0.00316609625142423,0.0051120002866123,-0.00590961173665198
"ADCY6",-0.00345760785807336,0.00138343736868896,-0.0101706735338416,0.0069614613024582
"ADCY7",0.00891293530326492,-0.00243807503112853,0.00651504688023871,-0.00402168706139765
"ADCY9",0.00310493198621946,0.00319477281947737,-0.00480331815014499,0.00160827476391606
"ADCYAP1",-0.000269747199031063,0.00476264580705603,-0.0022171385090343,0.00728456638380525
"ADD1",0.00137444406388716,-0.000956488923588314,-0.000830623469339804,0.00437029835464463
"ADD2",-0.00184060442138586,0.00168706336162645,-0.00223682419409908,0.00537527600157123
"ADD3",-0.00554137791453929,0.00279038751657785,-0.00576948347106265,-0.00386977928655237
"ADH1A",0.000181634584073562,0.00612554492121531,-0.00698602477720927,0.0100582137421967
"ADH1B",0.00442974629199589,0.0161645665664779,-0.0150420808949078,0.0122973602681005
"ADH1C",-0.00413416312351178,0.016021384295797,-0.054165312252067,0.0134999546868745
"ADH5",-0.000727096661989524,-0.00345629877304308,-0.00543769441555028,-0.00443249302141507
"ADH6",-0.00456074252810241,-0.00631112270319915,-0.0271296981076554,0.00885647638262658
"ADI1",-0.0011353215318109,-0.00450690629527547,-0.00608197911836502,-0.00668143927991891
"ADIPOQ",0.00217166699279816,0.00833178944269569,0.0085141614495908,0.00810258931712717
"ADIPOR1",-0.000880600245919707,-0.0019269153586004,-0.00487491767575499,-0.00120769011959558
"ADIPOR2",0.000221082965989987,0.00107635934735163,-0.00400303235258764,-0.00377916494218435
"ADK",-0.0042169845428253,-0.00229398639739448,0.00306086600734954,-0.0212913908344011
"ADM",0.0136168750428079,-0.0143522941281356,-0.000529124164033913,-0.00733399856185533
"ADM2",0.000976090369246453,-0.000903862738311722,0.00288027204457829,0.00224331084684562
"ADNP",-0.00757149353308375,0.00846116989840399,0.000667310273580193,-0.0151251563630232
"ADNP2",0.000907601008391593,-0.00995816517065379,0.00106878295200558,-0.00453354506219016
"ADO",0.000317420273101832,-0.000302839849468135,0.0039661049877079,-0.0119577941187678
"ADORA1",-0.00310607567701975,0.00179958734581517,0.0041796388004233,0.00553085310008087
"ADORA2A",0.00413946834042627,-0.00176262643618143,0.000475514744502607,-2.44545540979409e-05
"ADORA2B",-0.00151635898738017,-0.00747856975418754,-0.0132796867955301,-0.00920507905519344
"ADPGK",0.00301004825895307,-0.00402618560173859,0.00272723255477619,-0.00262365966464887
"ADRA1A",-0.00359844794336455,0.00285298203041495,0.0018702943179512,0.00645007368646057
"ADRA1D",-0.00609824416821194,-0.00227358078512413,-2.12906791604174e-05,0.00164410392738979
"ADRA2A",0.00177029383218402,0.011665416214013,-0.0205999057009606,0.011719703301904
"ADRA2C",-0.00675979026778676,0.00372950891536308,0.00386762325535693,-0.00072222447787777
"ADRB2",0.00913080310028474,0.0052972620223453,-0.0088395941166116,0.00659610365452196
"ADRB3",-0.00239789990624341,0.00186342630637436,0.00411774384622811,0.00767522259971186
"ADRBK1",-0.00217971703585299,-0.00226788350846949,0.00162207039032991,0.00262209011832696
"ADRBK2",-0.00104346911795408,0.00223437943193299,0.00423141364335486,-0.0056915379013456
"ADRM1",-0.0068257670279934,0.0033389398029632,0.0109287554704541,-0.0111048854154307
"ADSL",-0.00278938497029409,-0.00268366780676035,0.00261104094751609,-0.00921016302849981
"ADSS",-0.00155523211158563,-0.00166964731913083,-0.00280565330334239,-0.00731607682409787
"AEBP1",0.0224164908093787,0.0147519047139619,0.0137309283429193,-0.00294016296906158
"AEN",1.17312700257603e-05,-0.00839093687418689,0.00500584102720693,-0.00734095287604475
"AES",0.00204260303098447,-0.00239559983496256,-0.00773522724654333,0.0018940727423407
"AFAP1",-0.00100285467085311,0.00953512352819448,-0.00578325708599066,-0.00203343044164887
"AFF1",0.000771469828733101,0.000632027420116827,-0.00461779451938711,0.00317068237394349
"AFF4",0.00197355550111811,-0.00219456996040859,-0.00176545052227494,-0.00785958611375559
"AFG3L2",0.00229056159028594,-0.00911857203500114,-0.00397168130951842,-0.00254331246162928
"AFP",-0.000229946244291283,0.00112829511451908,0.000954398311042132,-0.0022285162466946
"AFTPH",-0.00304404311312671,0.00441925433150497,-0.00203479407394713,0.00266695513355966
"AGA",0.000727720354023095,0.000379636483229773,-0.00828634393825647,-0.00328901394899691
"AGAP1",-0.00327001317672244,-0.00193860361703473,-0.00241346084373748,-0.00504686776977666
"AGAP2",-0.000487790893859146,-0.000437849028702214,0.00305721894567177,0.00673033062242921
"AGBL2",-0.00228226262563473,0.00532151012133731,0.00305300100741232,0.00636906802398745
"AGBL5",-0.00399754507981369,0.00499296002093662,0.00247416625040265,-0.00424474058455169
"AGER",-0.0041125938430365,-0.0075332224811276,0.00476349738008897,0.00482567826241583
"AGFG1",0.000105357895643761,-0.000658550979348379,-0.00415045785223747,-0.0111723241843315
"AGFG2",-0.00397907192413509,-0.0057204789526065,-0.00684729265194244,-0.00126024530054961
"AGGF1",0.000138485588562202,-0.00046865740882203,-0.00266967657291737,-0.00756599728112122
"AGK",-0.0044127669859478,0.00347231968569975,-0.000483055594531582,-0.0069805065170854
"AGL",0.00216922319345457,-0.00687535153548651,-0.00449725009824179,-0.00405865943385631
"AGMAT",-0.013250600500111,-0.00240346457417918,0.00197388341004667,-0.0105760855545855
"AGPAT1",7.85821478958929e-05,0.0013521055238982,-0.00200949037066816,0.00143602662200658
"AGPAT2",-0.00434136336898408,-0.00478720499790987,-0.00175129503104444,-0.00250356121021129
"AGPAT3",-0.00353180296654918,0.00168114829569949,0.000199291099953406,-0.000612628161095173
"AGPAT4",0.0138414452203906,-0.00362884559486099,0.00200996066925146,0.00988487139205167
"AGPAT5",-0.0018704515473098,-0.00759262387361423,0.000635529820378438,-0.00497280117122061
"AGPS",0.000257995565122702,-0.00242886849266366,-0.00380349785666776,-0.0127101347168464
"AGR2",0.00597582285504336,-0.0222930822269126,-0.0203304871370198,0.00561895703077394
"AGRN",0.00347219097607532,-0.00774790908934012,0.0037302675314607,0.00789158128802134
"AGT",-0.00822566723338248,0.0158261990703823,-0.0144946796044426,-0.00982048929588299
"AGTR1",0.00149316995806127,0.0127029044784016,0.00798088992979829,0.00662044736747694
"AGXT",-0.00488192359536098,0.00506624167495782,-0.00119749496447803,0.0051549812511772
"AHCTF1",-0.00436862615428358,-0.00278569061640055,0.00670671940967293,-0.00608866335353448
"AHCY",-0.0103954224225613,0.00676749986857715,0.00591045680882927,-0.0158494635292496
"AHCYL1",-4.46391333559674e-05,-0.00316993094925474,-0.00362440698581848,0.000239141938734292
"AHCYL2",0.00365427041253401,-0.00868687848314059,-0.0222905050437812,0.00393874055299825
"AHDC1",0.00281221635065959,-0.00550965167110119,0.00539827761118947,-0.00151093406315154
"AHI1",-0.00185008858920258,0.00213821782699638,0.000546010194403653,0.00676624930123032
"AHNAK",0.0115734994551563,-0.00323097519486687,-0.0111952715270851,0.00633247833736452
"AHR",0.00550800401889382,-0.00677227626130629,0.00634564649520165,-0.00090600378294269
"AHSA1",0.000169261697855082,-0.00810396855305191,0.00209506900766927,-0.0084727458062451
"AHSP",-0.000887654883239957,0.00360011333908264,0.00026137312441381,0.00223256825687157
"AIF1",0.0277161199077267,-0.00204343517275756,-0.00259460060627289,-0.00593272487912958
"AIFM1",-0.00625048567168559,-0.000244240259651262,-2.40213324482184e-06,-0.0134285079418048
"AIG1",-0.003068102464704,0.00492914075716366,0.00454530745708913,-0.00801326335730714
"AIM1",-0.00347093285773224,-0.00862122731499274,-0.0105963705398364,-0.00164318890950515
"AIM1L",-0.00556169705126469,-0.00187002313235406,0.00700038180398235,-0.00504864887590597
"AIMP1",-0.00267848545963219,-0.0039186660886715,-0.000552775968593722,-0.00915403721074978
"AIMP2",-0.00240567790224239,0.000856607207203615,0.000814499663939704,-0.0130446770948526
"AIP",-0.000322505174256984,0.00402681214029244,0.00301761981054006,-0.00195465931848891
"AIRE",-0.00209405031763877,0.00286581769584724,-0.000635785704165046,0.00391615505716101
"AK2",-0.000932599983194996,-0.00643619379594374,-0.00460746217485419,-0.0108645703482399
"AK4",-0.0110258273402616,0.0123205844320869,0.00904501387064165,-0.0166881819329872
"AK5",-0.0024497541429104,0.00479327031897226,0.00100934998531444,0.00219073573610537
"AKAP1",-0.0087671759890116,0.00430734232158515,-0.00262616864852071,-0.00538677123398456
"AKAP10",0.00386776853577259,0.000561817099906004,0.00328362022258791,0.00423524044432568
"AKAP11",-0.00377922983649339,0.0107567649106164,-0.00216738891734368,-0.00707105247828881
"AKAP12",0.0223330392277063,0.0185007125088698,0.0088077988030341,-0.00781386571533496
"AKAP13",0.00751239093351413,0.00221649341312879,-0.00469630649780136,0.0108177884828982
"AKAP17A",-0.00134373473355988,0.00220144269255134,0.00099085319659834,-0.000380007363486071
"AKAP7",0.000859169318165248,-0.00106963548097379,-0.0218859322086546,-0.00360202985012895
"AKAP8",-0.00347052739797046,-0.00219554234700016,0.00254129999971436,0.000991472050335623
"AKAP8L",-0.00142345563240399,0.0028171877209535,0.00545565910999406,0.00269120963508626
"AKAP9",-0.00136917276083304,0.0016400787858181,-0.0119229987571246,-0.00436769646048357
"AKIP1",-0.00151140310173983,-0.00377236787459992,0.00104097922672598,-0.0120680398399532
"AKIRIN1",0.000532160027052245,-0.000772159486488202,-0.00461906400403636,-0.0048012007682639
"AKR1A1",0.00383871922450049,-0.00900018328045738,-0.00644804385236057,-0.000342293725414502
"AKR1B10",0.00127495736476922,-0.00723611897807132,-0.0407020949760169,0.00623893351021936
"AKR1C3",-0.00682678619202458,0.00682700050941948,-0.0210294138968407,-0.00164897072391847
"AKR1C4",-0.00475844705932584,0.000105083158499239,0.000584570738021902,0.00109849519607053
"AKR7A2",0.00432965493838721,-0.00621439550265389,-0.00296743184402052,-0.00313514242595986
"AKR7A3",0.000326953050846439,-0.0106710088193654,-0.00967617547694975,-0.00019521200733204
"AKT1",0.00255790548977999,-0.00621117914982083,-0.000865604193435221,0.00201118211610153
"AKT2",-0.00388026824544211,-0.00351414707235896,-0.000750333313623533,-0.00659566782589298
"AKT3",0.0128223842565859,0.0124959074725041,0.00392027154341397,-0.00404133150946718
"AKTIP",0.000653887696795698,3.51350539153103e-05,-0.00268978733825947,-0.0121670867938573
"ALAD",-0.00165586818697474,0.00343917343104171,-0.00771070288586702,-1.84576305803317e-05
"ALAS1",0.00526952521991143,-0.0101280153112558,-0.0066429723593994,-0.00569713287594809
"ALCAM",0.00582377272227432,-0.0066660301943961,0.00239939855937873,0.00496174199805636
"ALDH18A1",-0.00219335159231083,4.04812303441651e-05,-0.0014915718657824,-0.0110172927631543
"ALDH1A1",0.00778131455174562,-0.00915766987169461,-0.0233252075835219,0.00393426203509845
"ALDH1A2",-0.00219882373952826,0.000652324257313506,-0.00827429493976465,0.00617485892502206
"ALDH1A3///LRRK1",0.0113156571506438,0.0176995719705478,-0.00283695080472194,-0.00207574261784069
"ALDH1B1",-0.00421098905703602,0.00270365376253713,-0.0124953596833782,-0.0169174335809696
"ALDH1L1",0.00338234513202199,-0.00779215514004763,-0.0124993671579017,0.012576845397729
"ALDH2",-0.00723508059971856,-0.000397348714682224,-0.0105479928615797,0.00103869253903186
"ALDH3A1",-0.00111536949043145,-0.0103615685697297,-0.0067115305091459,0.0080901784951765
"ALDH3A2",0.00307144999147112,-0.00722150920013841,-0.00505415211928218,0.00628688008806539
"ALDH3B1",-0.000914979511941783,-0.00121879941660467,0.00018178616174394,0.00308155528850274
"ALDH3B2",-0.00238343148540874,-0.00276510610801225,6.89740854202691e-05,0.00338104198810957
"ALDH4A1",-0.0118751830271748,-0.00140124331939219,0.00300877557381769,-0.0131820754923917
"ALDH5A1",-0.00904483524358446,0.00358652991969802,0.000101475502260039,-0.00577913362905772
"ALDH7A1P1///ALDH7A1",-0.00398262913474968,-0.00602947840635478,-0.00310331807182049,-0.00921624885262501
"ALDH8A1",0.000203658493508929,-0.00247761376283662,0.010616796687777,0.00320662101250164
"ALDH9A1",-0.00177035137610459,-0.00538026690806358,-0.00481993245075577,0.000692227189848725
"ALDOA",0.000834961151072751,-0.00831706821970909,-0.000777003098985179,-0.00181813559726093
"ALDOB",-0.00348603418297948,-0.00285626700871778,-0.0357974581382303,0.00515194243418327
"ALDOC",-0.00229740733918584,-0.00242535947012936,-6.81524364785712e-06,-0.00331492352533231
"ALG12",-0.00163210292588176,-0.00291434793131112,-0.00205226537183125,0.0013820799421138
"ALG13",-0.00202235923195867,-0.000334345151853298,0.00195085211178468,0.00370563724986556
"ALG3",-0.00328787625554794,-0.0018706676169663,0.00057946811681906,-0.00978689474859332
